week,manager_id,slot_idx,player_id,aquired
0,1,1,kirkcousins-QB,Draft
0,1,2,christianmccaffrey-RB,Draft
0,1,3,rhamondrestevenson-RB,Draft
0,1,4,ajbrown-WR,Draft
0,1,5,jaylenwaddle-WR,Draft
0,1,6,markandrews-TE,Draft
0,1,7,jamesconner-RB,Draft
0,1,8,commandersdst-DST,Draft
0,1,9,grahamgano-K,Draft
0,1,10,mikeevans-WR,Draft
0,1,11,davidmontgomery-RB,Draft
0,1,12,georgepickens-WR,Draft
0,1,13,skyymoore-WR,Draft
0,1,14,allenlazard-WR,Draft
0,1,15,kadariustoney-WR,Draft
0,1,16,anthonyrichardson-QB,Free Agency
0,2,1,joshallen-QB,Draft
0,2,2,bijanrobinson-RB,Draft
0,2,3,javontewilliams-RB,Draft
0,2,4,ceedeelamb-WR,Draft
0,2,5,amaricooper-WR,Draft
0,2,6,davidnjoku-TE,Draft
0,2,7,christianwatson-WR,Draft
0,2,8,steelersdst-DST,Draft
0,2,9,harrisonbutker-K,Draft
0,2,10,djmoore-WR,Draft
0,2,11,christiankirk-WR,Draft
0,2,12,jamescook-RB,Draft
0,2,13,gabedavis-WR,Draft
0,2,14,roschonjohnson-RB,Draft
0,2,15,daltonkincaid-TE,Draft
0,2,16,tankbigsby-RB,Draft
0,3,2,deonjackson-RB,Free Agency
0,3,3,zackmoss-RB,Free Agency
0,3,4,justinjefferson-WR,Draft
0,3,9,jasonmyers-K,Draft
0,3,10,jalenhurts-QB,Draft
0,3,11,chrisgodwin-WR,Draft
0,3,12,breecehall-RB,Draft
0,3,13,jerryjeudy-WR,Draft
0,3,14,camakers-RB,Draft
0,3,15,evanengram-TE,Draft
0,3,16,brandincooks-WR,Draft
0,3,17,tylerboyd-WR,Draft
0,3,18,odellbeckhamjr-WR,Draft
0,3,19,ezekielelliott-RB,Draft
0,3,20,kjosborn-WR,Draft
0,3,21,ravensdst-DST,Draft
0,3,22,jonathantaylor-RB,Draft
0,4,1,justinfields-QB,Draft
0,4,2,joemixon-RB,Draft
0,4,3,rachaadwhite-RB,Draft
0,4,4,amonrastbrown-WR,Draft
0,4,5,keenanallen-WR,Draft
0,4,6,traviskelce-TE,Draft
0,4,7,alexandermattison-RB,Draft
0,4,8,dolphinsdst-DST,Draft
0,4,9,danielcarlson-K,Draft
0,4,10,tylerlockett-WR,Draft
0,4,11,brandonaiyuk-WR,Draft
0,4,12,jakobimeyers-WR,Draft
0,4,13,antoniogibson-RB,Draft
0,4,14,zachertz-TE,Draft
0,4,15,tuatagovailoa-QB,Draft
0,4,16,samajeperine-RB,Draft
0,5,1,deshaunwatson-QB,Draft
0,5,2,derrickhenry-RB,Draft
0,5,3,aaronjones-RB,Draft
0,5,4,stefondiggs-WR,Draft
0,5,5,dkmetcalf-WR,Draft
0,5,6,georgekittle-TE,Draft
0,5,7,diontaejohnson-WR,Draft
0,5,8,billsdst-DST,Draft
0,5,9,evanmcpherson-K,Draft
0,5,10,isiahpacheco-RB,Draft
0,5,11,dalvincook-RB,Draft
0,5,12,jujusmithschuster-WR,Draft
0,5,13,aaronrodgers-QB,Draft
0,5,14,darnellmooney-WR,Draft
0,5,15,zayjones-WR,Draft
0,5,16,tylerallgeier-RB,Draft
0,6,1,patrickmahomes-QB,Draft
0,6,2,austinekeler-RB,Draft
0,6,3,kennethwalkeriii-RB,Draft
0,6,4,garrettwilson-WR,Draft
0,6,5,deebosamuel-WR,Draft
0,6,6,patfreiermuth-TE,Draft
0,6,7,deandrehopkins-WR,Draft
0,6,8,saintsdst-DST,Draft
0,6,9,tylerbass-K,Draft
0,6,10,marquisebrown-WR,Draft
0,6,11,michaelpittmanjr-WR,Draft
0,6,12,ajdillon-RB,Draft
0,6,13,zayflowers-WR,Draft
0,6,14,elijahmitchell-RB,Draft
0,6,15,zachcharbonnet-RB,Draft
0,6,16,rashaadpenny-RB,Draft
0,7,1,lamarjackson-QB,Draft
0,7,2,joshjacobs-RB,Draft
0,7,3,alvinkamara-RB,Draft
0,7,4,jamarrchase-WR,Draft
0,7,5,teehiggins-WR,Draft
0,7,6,kylepitts-TE,Draft
0,7,7,mikewilliams-WR,Draft
0,7,8,packersdst-DST,Draft
0,7,9,justintucker-K,Draft
0,7,10,courtlandsutton-WR,Draft
0,7,11,dandreswift-RB,Draft
0,7,12,genosmith-QB,Draft
0,7,13,colekmet-TE,Draft
0,7,14,adamthielen-WR,Draft
0,7,15,tylerhigbee-TE,Draft
0,7,16,devinsingletary-RB,Draft
0,8,1,justinherbert-QB,Draft
0,8,2,nickchubb-RB,Draft
0,8,3,jahmyrgibbs-RB,Draft
0,8,4,devontasmith-WR,Draft
0,8,5,drakelondon-WR,Draft
0,8,6,dallasgoedert-TE,Draft
0,8,7,dameonpierce-RB,Draft
0,8,8,cowboysdst-DST,Draft
0,8,9,jakeelliott-K,Draft
0,8,10,cooperkupp-WR,Draft
0,8,11,jahandotson-WR,Draft
0,8,12,brianrobinsonjr-RB,Draft
0,8,13,treylonburks-WR,Draft
0,8,14,jerickmckinnon-RB,Draft
0,8,15,russellwilson-QB,Draft
0,8,16,elijahmoore-WR,Draft
0,9,1,joeburrow-QB,Draft
0,9,2,saquonbarkley-RB,Draft
0,9,3,travisetiennejr-RB,Draft
0,9,4,tyreekhill-WR,Draft
0,9,5,chrisolave-WR,Draft
0,9,6,darrenwaller-TE,Draft
0,9,7,terrymclaurin-WR,Draft
0,9,8,49ersdst-DST,Draft
0,9,9,camerondicker-K,Draft
0,9,10,khalilherbert-RB,Draft
0,9,11,michaelthomas-WR,Draft
0,9,12,rondalemoore-WR,Draft
0,9,13,jamaalwilliams-RB,Draft
0,9,14,mattbreida-RB,Draft
0,9,15,geraldeverett-TE,Draft
0,9,16,raheemmostert-RB,Free Agency
0,9,17,jeffwilsonjr-RB,Draft
0,10,1,trevorlawrence-QB,Draft
0,10,2,tonypollard-RB,Draft
0,10,3,najeeharris-RB,Draft
0,10,4,davanteadams-WR,Draft
0,10,5,calvinridley-WR,Draft
0,10,6,tjhockenson-TE,Draft
0,10,7,milessanders-RB,Draft
0,10,8,patriotsdst-DST,Draft
0,10,9,younghoekoo-K,Draft
0,10,10,jkdobbins-RB,Draft
0,10,11,jordanaddison-WR,Draft
0,10,12,jaxonsmithnjigba-WR,Draft
0,10,13,daltonschultz-TE,Draft
0,10,14,nicocollins-WR,Draft
0,10,15,dakprescott-QB,Draft
0,10,16,jaylenwarren-RB,Draft
1,1,1,kirkcousins-QB,Draft
1,1,2,christianmccaffrey-RB,Draft
1,1,3,rhamondrestevenson-RB,Draft
1,1,4,ajbrown-WR,Draft
1,1,5,jaylenwaddle-WR,Draft
1,1,6,markandrews-TE,Draft
1,1,7,jamesconner-RB,Draft
1,1,8,commandersdst-DST,Draft
1,1,9,grahamgano-K,Draft
1,1,10,mikeevans-WR,Draft
1,1,11,davidmontgomery-RB,Draft
1,1,12,georgepickens-WR,Draft
1,1,13,skyymoore-WR,Draft
1,1,14,kadariustoney-WR,Draft
1,1,15,anthonyrichardson-QB,Free Agency
1,1,16,chigoziemokonkwo-TE,Free Agency
1,2,1,joshallen-QB,Draft
1,2,2,bijanrobinson-RB,Draft
1,2,3,jamescook-RB,Draft
1,2,4,ceedeelamb-WR,Draft
1,2,5,amaricooper-WR,Draft
1,2,6,davidnjoku-TE,Draft
1,2,7,christianwatson-WR,Draft
1,2,8,steelersdst-DST,Draft
1,2,9,harrisonbutker-K,Draft
1,2,10,djmoore-WR,Draft
1,2,11,javontewilliams-RB,Draft
1,2,12,christiankirk-WR,Draft
1,2,13,gabedavis-WR,Draft
1,2,14,roschonjohnson-RB,Draft
1,2,15,daltonkincaid-TE,Draft
